X Y Z
118.288028 108.582890 210.814370
120.103918 108.155186 210.005963
-120.239360 107.542860 210.242787
-118.426603 107.950219 211.061342
-116.609627 108.350563 211.866351
-114.788528 108.743907 212.657839
-112.963407 109.130265 213.435831
-111.134358 109.509653 214.200351
-109.301477 109.882085 214.951424
-107.464857 110.247576 215.689074
-105.624589 110.606141 216.413326
-103.780764 110.957794 217.124206
-101.933470 111.302552 217.821738
-100.082795 111.640428 218.505947
-98.228825 111.971437 219.176859
-96.371644 112.295594 219.834496
-94.511337 112.612914 220.478885
-92.647983 112.923412 221.110050
-90.781665 113.227102 221.728015
-88.912462 113.523998 222.332805
-87.040451 113.814115 222.924442
-85.165709 114.097468 223.502952
-83.288313 114.374070 224.068358
-81.408336 114.643935 224.620682
-79.525852 114.907078 225.159948
-77.640933 115.163511 225.686179
-75.753651 115.413248 226.199396
-73.864074 115.656303 226.699621
-71.972273 115.892688 227.186877
-70.078314 116.122417 227.661183
-68.182266 116.345501 228.122561
-66.284193 116.561954 228.571032
-64.384161 116.771788 229.006614
-62.482235 116.975015 229.429328
-60.578476 117.171645 229.839191
-58.672949 117.361692 230.236223
-56.765713 117.545165 230.620441
-54.856831 117.722076 230.991863
-52.946361 117.892435 231.350506
-51.034363 118.056254 231.696385
-49.120897 118.213541 232.029516
-47.206018 118.364306 232.349915
-45.289785 118.508559 232.657595
-43.372255 118.646310 232.952572
-41.453482 118.777566 233.234857
-39.533523 118.902337 233.504464
-37.612431 119.020630 233.761405
-35.690262 119.132454 234.005692
-33.767069 119.237815 234.237334
-31.842906 119.336722 234.456342
-29.917825 119.429180 234.662725
-27.991878 119.515197 234.856493
-26.065118 119.594779 235.037653
-24.137597 119.667931 235.206213
-22.209365 119.734659 235.362180
-20.280474 119.794967 235.505559
-18.350975 119.848862 235.636356
-16.420919 119.896346 235.754575
-14.490355 119.937425 235.860221
-12.559334 119.972101 235.953296
-10.627905 120.000378 236.033804
-8.696120 120.022260 236.101746
-6.764027 120.037748 236.157124
-4.831677 120.046845 236.199936
-2.899119 120.049553 236.230184
-0.966402 120.045872 236.247867
0.966423 120.035806 236.252982
2.899307 120.019353 236.245527
4.832200 119.996515 236.225499
6.765052 119.967291 236.192894
8.697813 119.931682 236.147707
10.630433 119.889687 236.089934
12.562861 119.841304 236.019568
14.495047 119.786532 235.936602
16.426940 119.725370 235.841030
18.358490 119.657815 235.732843
20.289643 119.583866 235.612032
22.220349 119.503518 235.478587
24.150557 119.416770 235.332500
26.080212 119.323618 235.173759
28.009262 119.224057 235.002352
29.937655 119.118085 234.818267
31.865336 119.005696 234.621493
33.792251 118.886885 234.412014
35.718345 118.761648 234.189818
37.643563 118.629980 233.954889
39.567849 118.491873 233.707213
41.491146 118.347324 233.446773
43.413398 118.196324 233.173553
45.334546 118.038869 232.887536
47.254533 117.874950 232.588704
49.173298 117.704560 232.277040
51.090782 117.527693 231.952524
53.006924 117.344340 231.615137
54.921663 117.154494 231.264860
56.834936 116.958146 230.901672
58.746681 116.755288 230.525552
60.656832 116.545912 230.136480
62.565326 116.330007 229.734432
64.472096 116.107566 229.319389
66.377076 115.878578 228.891325
68.280198 115.643035 228.450220
70.181392 115.400927 227.996049
72.080590 115.152243 227.528789
73.977719 114.896973 227.048415
75.872709 114.635108 226.554903
77.765486 114.366637 226.048228
79.655976 114.091549 225.528366
81.544104 113.809833 224.995291
83.429793 113.521479 224.448977
85.312965 113.226477 223.889399
87.193541 112.924814 223.316531
89.071441 112.616479 222.730346
90.946584 112.301463 222.130818
92.818886 111.979752 221.517921
94.688265 111.651337 220.891628
96.554633 111.316206 220.251913
98.417904 110.974347 219.598749
100.277991 110.625749 218.932109
102.134802 110.270401 218.251966
103.988249 109.908291 217.558295
105.838237 109.539409 216.851068
107.684672 109.163743 216.130258
109.527460 108.781282 215.395841
111.366504 108.392014 214.647788
113.201704 107.995930 213.886075
115.032961 107.593018 213.110676
116.860173 107.183267 212.321565
118.683237 106.766667 211.518718
120.502049 106.343208 210.702108
-120.634986 105.729912 210.934553
-118.819261 106.132945 211.761141
-116.999172 106.529065 212.574110
-115.174817 106.918285 213.373480
-113.346297 107.300618 214.159273
